store_id,store_name,menu,summurized_review
1872352260,커피그래,"디카페인 아메리카노, 크로플, 카라멜 푸딩, 초코 마시멜로 쿠키, 바나나푸딩, 쿠키, 플랫화이트, gre놀라 원두 200g, 디카페인 원두 200g, 핸드드립, 타르트, 아메리카노, 카페라떼, 카푸치노, 수제바닐라라떼","카페는 엄청 넓지는 않지만 분위기 있는 곳으로, 직원들도 친절하다는 평가를 받습니다. 방문 목적은 주로 다양한 커피를 맛보기 위한 것이며, 원두를 구매할 수 있는 점도 특징적입니다. 그래라떼, 비엔나 커피, 그리고 푸딩이 특히 맛있다는 평이 많고, 크로플도 좋은 평가를 받고 있습니다."
1913147400,섬광,"쑥라떼, 더티초코, 호치티라떼, 사과 에이드, 와인, 섬광블랜딩필터커피, 라떼<아이스>, 비엔나<핫 아이스>, 말차라떼","카페의 분위기는 어두운 조명과 고즈넉한 매력으로 차분한 느낌을 줍니다. 조용한 시간을 즐기려는 방문객이나 브런치를 즐기려는 이들에게 이상적입니다. 프렌치 토스트, 바나나 푸딩, 비엔나 커피, 홍시 샤베트가 특히 추천되는 메뉴입니다."
1354378250,맥컬리커피,"Nana’s Pecan Pie, Coconut Cream Pie, 에스프레소, 코르타도, 카푸치노, 카페 라떼, 라벤더 라떼, 아메리카노, 드립커피","카페는 미국 레트로 감성을 느낄 수 있는 독특한 인테리어와 아늑한 분위기를 자랑합니다. 방문 목적은 주로 커피와 음료를 즐기기 위한 것으로, 특히 핸드드립 커피의 맛에 대한 호평이 많습니다. 시그니처 메뉴로는 라벤더 라떼와 로만 메이드 블렌드, 라즈베리 초코 밀크, 그리고 피칸파이가 특히 맛있다는 리뷰가 많이 보입니다."
37236747,덕수궁 카페 돌담콩,"바나나오레오크레페, 생딸기 크레페(시즌메뉴), 달달콩, 생자두스무디(시즌메뉴), 바나나 블루베리 크레페, 바나나 크레페, 커스타드 생딸기 크레페(시즌메뉴), 촠촠모카, 아메리카노, 카페라떼, 카푸치노, 카라멜마끼아또, 카페모카, 바닐라라떼, 딸기라떼","카페는 깔끔하고 아늑한 분위기로 덕수궁 돌담길과 바로 연결되어 있어 낭만적인 산책과 잘 어울립니다. 사람들은 주로 맛있는 크레페를 시도해보기 위해 찾으며, 주변을 산책하며 먹는 것을 추천합니다. 크레페는 얇고 바삭하며 신선한 재료로 채워져 있으며, 바나나와 딸기 크레페가 특히 인기가 있습니다."
1123371020,콘하스 ddp점,아메리카노,"카페는 동대문 근처에 위치하며, 다양한 컨셉의 자리와 좋은 뷰를 제공하여 아늑하고 차분한 분위기를 즐길 수 있는 공간입니다. 방문자들은 주로 작업을 하거나 친구와 함께 시간을 보내기 위해 찾으며, 데이트 장소로도 적합하다는 의견이 많습니다. 무화과 타르트와 레몬 타르트가 특히 맛있다고 하며, 커피와 디저트도 전반적으로 긍정적인 평가를 받고 있지만 일부는 아쉬움을 표현하기도 합니다."
13325328,빈스빈스 명동점,"아이스크림와플, 과일와플, 스트로베리와플, 생망고와플, 트리플 아이스크림와플, 생망고치즈와플, 벨기에와플, 콤비네이션와플, 해피바나나와플, 아이스초코와플, 싱글 아이스크림와플, 애플시나몬와플, 블루베리초코와플, 해피망고, 스페셜티 아메리카노(멕시코 디카페인)","매장은 넓고 아늑한 분위기를 가지고 있으며, 중간에 쉬기에 좋은 조용한 공간을 제공합니다. 사람들은 오랜만에 추억을 돌이키거나 명동에 방문하면서 항상 들르는 장소로, 편히 쉴 수 있는 곳으로 이용합니다. 빈스빈스 아이스크림 와플이 특히 맛있다는 평이 많습니다."
1507052049,맷차 명동본점,"아메리카노, 숙성 바닐라 빈 라떼, 말차 에스프레소, 말차 밀크티, 볶은 녹차 밀크티, 홍차 밀크티, 얼그레이 밀크티, 쑥 밀크티 (디카페인), 말차 크림 라떼, 쑥 크림 라떼, 검은깨 크림 라떼, 말차 수제 크림, 딸기 수제 크림, 말차 크림 딸기","카페는 한국적인 느낌을 주는 포인트가 많고 아늑한 분위기를 제공합니다. 친구와 함께 맛있는 디저트를 즐기거나 독특한 말차 음료를 경험하기 위한 곳으로 적합합니다. 특히 말차 수제크림, 말차 밀크티, 말차 크레이프 등이 매우 맛있다는 평이 많습니다."
1296515088,스윙,하우스블랜드,"카페는 아파트 안에 위치한 조용하고 아늑한 공간으로, 인테리어 또한 멋지고 따뜻한 분위기를 제공합니다. 커피와 다양한 위스키를 즐기기 위해 방문하며, 특히 위스키 애호가들이 자주 찾는 명소로 알려져 있습니다. 가을 블렌딩과 오트 라떼, 고양이가 있는 귀여운 분위기를 경험할 수 있는 점이 인상적입니다."
1915708438,커피스니퍼 서울시청점,"스니퍼 라떼, 커스터드 라떼, 애플 카모 브리즈 (시즌 메뉴), 시나 페어 (시즌 메뉴), 클래식 밀크티, 블랙커피 (아메리카노), 오트 라떼, 필터 커피 (핸드드립), 구운 도넛과 쿠키, 비스킷 라떼 (시즌 메뉴), 에스프레소, 선암파머스 사과주스","카페는 크지는 않지만 굳 분위기를 가지고 있으며, 판돈 넘은 로컬한 느낌으로 따뜻한 분위기를 제공합니다. 커피의 맛을 즐기기 위해 방문하는 손님들이 많고, 단골 손님들과의 관계도 자주 이루어지는 곳입니다. 오트라테, 도넛, 핸드드립 커피, 그리고 시그니처 라떼가 특히 맛있다는 평가를 받고 있습니다."
1460968982,브루클린커피,"햄치즈 빠니니, 에그 샌드위치, 햄&치즈 샌드위치","카페는 뷰가 좋고, 조용하며 넓은 공간을 제공하여 작업하기에 적합한 분위기를 제공합니다. 주로 커피와 샌드위치를 맛보기 위해 방문한 경우가 많습니다. 특히 플렛화이트, 라떼, 크림커피가 맛있으며, 가성비가 좋은 베이커리도 추천받고 있습니다."
1538748443,연남방앗간 서울역점,"아메리카노( TAKEOUT), 참깨라떼, 참깨 아이스크림, 방앗간 커피, 라떼","카페는 조용하고 한적한 분위기이며, 뉴욕 재즈 스타일의 음악이 흘러나와 힐링을 제공합니다. 문화역 284 방문이나 비 피하기, 또는 KTX 타기 전 시간을 보내기 위해 들르기 좋습니다. 흑임자 라떼, 방앗간 커피, 그리고 커스타드 파이가 특히 맛있다는 평이 많습니다."
1794204194,아티제 서울스퀘어점,"카페 아메리카노, 카페라떼, 스패니쉬라떼, 플랫화이트, 카푸치노, 리얼후르츠 자몽주스, 리얼스퀴즈 오렌지에이드, 리얼스퀴즈 레몬에이드, 리얼후르츠 토마토주스, 더블 스트로베리 쉬폰 케이크, 테디베어 초코 쉬폰, 얼그레이 쉬폰 케이크","카페는 넓고 개방감 있는 공간으로 콘센트가 많아 혼자 공부하거나 일을 하기에도 좋으며, 전체적으로 쾌적한 분위기입니다. 방문 목적은 새벽 출근 후 휴식, 혼자 공부 또는 조용한 시간을 보내기 위해 주로 방문하며 점심 시간대 직장인들로 다소 시끄러울 수 있습니다. 핫초코, 호두찰빵, 그리고 라떼가 맛있다는 평가가 많습니다."
1833286690,피프에스프레소바 을지로점,"메론소다, 코튼캔디소다, 큐컴버 레몬에이드, 피프커피, 판나 트러플, 스트라파짜토, 로마노, 트리플 그라니따, 초코베리선데, 피치멜바 파르페, 아페롤 스프리츠, 캄파리 스프리츠, 네그로니, 그라니따, 그라니따 로마노","카페는 공간이 작지만 아늑하고 분위기가 좋으며, 좋은 음악과 함께 대화에 집중할 수 있는 편안한 공간을 제공합니다. 친구들과 좋은 시간을 보내기 위해 방문하거나 우연히 지나치며 휴식을 취할 장소로도 적합합니다. 커피는 특별하고 맛있으며, 판나트러플과 시그니처 피프 커피, 다양한 에스프레소 베버리지가 특히 맛있다는 평이 많습니다."
1226395177,플랫슬리퍼 본점,"가지&우엉 포카치아, 페퍼로니치즈 포카치아, 플레인 치아바타, 올리브XL 치아바타, 할라피뇨치즈 치아바타, 통단호박치즈 치아바타, 바질토마토 치아바타, 마늘크림바게트, 오이바게트, 할라피뇨소시지 치아바타, 호두시나몬롤, 소금빵(잠깐 품절), 루꼴라햄치즈 샌드위치, 루꼴라닭치즈 샌드위치, 잠봉뵈르","카페는 넓고 포근하며 멋진 분위기로, 테라스 공간과 2층 매장이 쾌적합니다. 방문 목적은 주로 맛있는 빵과 커피, 특히 치아바타와 샌드위치를 즐기기 위함이며 친목 모임에도 적합합니다. 특히 치아바타, 올리브 치아바타, 단호박 치아바타와 단호박치즈, 마늘 바게트, 잠봉뵈르 등 다양한 빵이 맛있다고 평가되며, 손님들은 커피와 밀크티도 매우 좋다고 추천합니다."
1386833963,호랑이,"호랑이싱글라떼, 호랑이라떼, 후르츠산도, 아메리카노, 유기견 돕기 패키지(텀블러+스티커북), 쌀 앙금 카스테라, 호랑이싱글라떼","카페는 특히 라떼 맛집으로 알려져 있으며, 매장 분위기도 매력적이고 야외 테이블도 마련되어 있어 편안하게 즐길 수 있는 분위기를 제공합니다. 손님들은 주로 맛있는 라떼를 마시기 위해 방문하며, 텀블러를 가져오면 할인을 받을 수 있어 경제적으로 이용합니다. 특히 호랑이 라떼가 맛있다는 평이 많고, 일부 메뉴는 특별하지 않다는 의견도 있지만 전반적으로 긍정적인 평가가 많습니다."
1632930859,베이커리텐,"에그타르트, 바닐라 까눌레, 얼그레이 까눌레, 에그타르트 6구박스, 에그타르트 9구박스, 에그타르트 12구 박스, 바스크치즈케이크(조각), 바스크치즈케이크(컵케이크), 바스크치즈케이크(홀사이즈), 피넛 카라멜 휘낭시에, 버터꾸덕바, 6구 박스(박스만), 9구 박스(박스만), 12구 박스(박스만)","가게는 귀엽고 매력적인 빵냄새가 가득하여 지나가는 사람들의 발길을 사로잡습니다. 손님들은 주로 에그타르트를 구매하러 방문하며, 추천 받거나 리뷰를 보고 방문하는 경우가 많습니다. 에그타르트가 특히 맛있다는 평이 많으며, 버터바, 까눌레, 치즈케이크도 인기가 있습니다."
37561899,위고에빅토르,"타르트 (조각), 타르트 (라운드), 슈 프레이즈, 쇼트케익 프레이즈, 베린 프레이즈, 밀푀유, 미퀴(퐁당오쇼콜라), 피낭시에, 아메리카노, 마카롱, 에스프레소, 카페라떼, 카푸치노, 바닐라라떼, 나튜르 미니 피낭시에","카페의 내부 분위기나 인테리어에 대한 언급은 적었지만, 친절한 서비스를 제공하지 않은 직원에 대한 불만이 있었습니다. 백화점 방문 후 들른 이들이나 이전 방문 경험을 바탕으로 재방문하는 경우가 있었습니다. 커피, 바닐라 밀푀유, 휘낭시에, 복숭아 아이스티 등 여러 디저트가 맛있다는 평가를 받았습니다."
1105473067,바캉스커피,"무화과파운드케이크, 딸기라떼, 바캉스라떼, 바캉스커피, 앙버터츄로스, 아인슈페너, 크림라떼, 아메리카노, 라떼, 바닐라라떼, 메이플라떼, 스티븐스미스, 레몬에이드, 망고에이드, 쇼콜라","카페는 현대적이고 세련된 인테리어와 건물 전망이 멋진 넓은 공간을 제공하며, 바캉스 같은 분위기로 손님들에게 휴식을 제공합니다. 방문 목적은 주로 커피나 차를 즐기며 힐링하거나, 여유로운 분위기에서 담소를 나누기 위해서입니다. 특히 시그니처 커피, 참외 에이드, 바캉스 커피, 오렌지 커피가 맛있다는 평이 많습니다."
1041643053,호두가 서울시청 직영점,"앙버터 호두과자(10구), 앙버터 호두과자(20구), 팥앙금 호두과자(10구), 팥앙금 호두과자(20구), 두바이 호두과자(10구), 두바이 호두과자(20구), 40구 호두가 선물세트, 6구 (답례품 전용), 팥앙금 호두과자 간식용(박스포장X), 고구마 호두과자(10구), 고구마 호두과자(20구), 누텔라 호두과자(10구), 누텔라 호두과자(20구)","카페의 내부 분위기나 인테리어에 대한 언급은 없으므로 관련 정보를 생략합니다. 친구나 부모님, 직장 동료에게 선물하기 위해 방문한 경우가 많습니다. 특히 앙버터호두과자와 두바이초코 호두과자가 맛있다는 평을 받았으며, 직원들이 친절하다는 점도 강조되고 있습니다."
31583286,르풀,"샐러드 S, 르풀파니니, 치즈&비프샌드위치, 치킨&아몬드 샌드위치, 치킨파니니, 훈제연어샌드위치, 아보카도 샌드위치(비건메뉴), 햄&치즈 파니니, 불고기 파니니, 리코타치즈샌드위치, 햄&치즈샌드위치, 샐러드D, 샐러드B, 샐러드L, 훈제연어아보카도샌드위치","카페는 아름다운 정동길에 위치하며, 실내외 모두 편안하고 아늑한 분위기를 자랑합니다. 방문 목적은 브런치나 커피를 즐기기 위함이며, 특히 야외 테이블이 인기가 많습니다. 블루치즈 아보카도 샌드위치, 바닐라 라떼, 그리고 리코타 치즈가 들어간 메뉴가 특히 맛있다는 평이 많습니다."
1597080119,스테츄,"토끼피규어 무스케이크, 아이리쉬 무스케이크, 트리플베리 무스케이크, 피나콜라다 무스케이크, 샤인머스켓 무스케이크, 오페라 케이크, 밤티라미수, 미니오페라(리뷰작성 시, 무료제공✨)","카페는 깔끔하고 넓으며, 감각적이고 힙한 인테리어로 분위기가 좋습니다. 친구들과의 만남이나 대화를 나누기 좋으며, 여유롭게 이용할 수 있는 공간입니다. 밤 티라미수, 피나콜라다 무스케이크, 그리고 초당옥수수라떼가 특히 맛있다는 평가를 받았습니다."
56030776,그라운드125,"아메리카노, 카페라떼, 바닐라라떼, 헤이즐넛 소이라떼, 딸기라떼, 레드자몽티, 스페인꿀국화차, 오레오 블렌디드, 딸기 요거트 블렌디드, 레몬에이드, 청포도에이드, 비건 콤부차","카페는 차분하고 자연 속 휴식을 제공하는 초록초록한 인테리어로, 힐링되는 분위기를 갖추고 있습니다. 주말에 공부하거나 지인들과 함께 방문하기에 좋은 곳으로 추천됩니다. 비건 디저트가 특히 맛있으며, 다양한 메뉴와 적당한 가격이 매력적이라는 평을 받았습니다."
1554735161,커피앳웍스 센터원점,"콜드브루 바닐라빈 크림라떼, 브루드커피, 아메리카노, 카페라떼","카페는 야외 좌석에서 외국에 있는 듯한 느낌을 주며, 주말의 여유로움을 즐기기에 좋습니다. 방문객들은 주로 커피와 디저트, 베이커리 제품을 즐기기 위해 오며, 맛있는 브런치도 인기가 많습니다. 특히 시나몬 카푸치노, 모닝번 세트와 빵이 맛있다는 평이 많습니다."
1757015098,푸쉬커피 을지,"푸쉬라떼, 클래식쿠키, 아메리카노, 라떼, 스몰라떼, 아차산슈페너, 버터바, 에스프레소, 티메뉴 2종","카페는 감성이 있는 멋진 분위기로 남녀노소 모두에게 인기가 있습니다. 방문 목적은 주로 맛있는 커피와 디저트를 즐기기 위한 것으로 보이며, 특히 유명한 라떼를 맛보기 위해 오는 경우가 많습니다. 푸쉬라떼와 초코칩쿠키가 특히 맛있다고 칭찬받고 있습니다."
